dForagingSD,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,570.028,167895,0.000550457,0.0176399,-0.000862123,0.0199754,-4.99985,0.0201169,1028,6682,1,0.178885,3,2.86147,3,2.84763,6,5.09676
0.5,580.028,170865,0.000524152,0.0175352,-0.000996501,0.0196702,-4.99981,0.0203001,1031,7095,1,0.187083,3,2.9685,3,2.9382,6,5.281
0.5,590.028,173829,0.00066539,0.0177024,-0.00111457,0.0197958,-4.99997,0.0196614,1034,7472,1,0.194936,3,3.0895,3,3.03842,6,5.48097
0.5,600.028,176779,0.000512705,0.017639,-0.00103604,0.020241,-4.99992,0.0199803,1028,3956,1,0.184391,2,2.1934,2,2.20862,4,3.73216
0.5,610.028,179748,0.000852801,0.0187364,-0.000953929,0.019747,-4.99978,0.0206868,1031,4355,1,0.181659,2,2.35138,2,2.34179,5,3.85914
0.5,620.028,182704,0.000987172,0.0188408,-0.00105379,0.0199827,-4.99984,0.0207042,1031,4754,1,0.181659,2,2.56437,2,2.53377,5,4.23556
0.5,630.028,185666,0.00105012,0.0189875,-0.00103701,0.020369,-4.99989,0.0211317,1030,5140,1,0.178885,2,2.76767,2,2.73002,5,4.62245
0.5,640.028,188620,0.00109455,0.0194835,-0.000778046,0.0200362,-5.00003,0.021611,1037,5549,1,0.197484,3,2.76442,3,2.67787,6,4.83374
0.5,650.028,191599,0.00119055,0.0197409,-0.000766187,0.0206414,-4.99997,0.0212376,1036,5945,1,0.194936,3,2.87315,3,2.8066,6,5.10294
0.5,660.028,194602,0.00110379,0.020488,-0.000941607,0.0209061,-5.00009,0.0207555,1034,6350,1,0.189737,3,2.90672,3,2.91256,6,5.26042
0.5,670.028,197559,0.000817692,0.0199784,-0.000893006,0.0209598,-5.0002,0.0208998,1032,6737,1,0.178885,3,3.01761,3,3.05581,6,5.46663
0.5,680.028,200519,0.000399958,0.0198163,-0.00101736,0.0209517,-5,0.0204878,1030,7136,1,0.178885,3,3.0916,3,3.1407,6,5.67098
0.5,690.028,203482,0.000496525,0.0198314,-0.000573306,0.0194563,-4.99999,0.0209988,1034,7535,1,0.189737,3,3.19296,3,3.19296,6,5.81395
0.5,700.028,206457,0.000387933,0.0193293,-0.000505314,0.0190762,-4.99977,0.0220286,1034,3907,1,0.189737,2,2.17738,2,2.30152,4,3.84734
0.5,710.028,209419,0.000705308,0.0201982,-0.000608585,0.0189365,-4.99999,0.0219468,1036,4301,1,0.2,2,2.38705,2,2.54205,5,4.14295
0.5,720.028,212391,0.000688492,0.0205037,-0.000697824,0.0192725,-4.99973,0.0217692,1040,4684,1,0.209762,2,2.55421,2,2.6803,5,4.42945
0.5,730.028,215368,0.000797029,0.0210176,-0.000866111,0.0195959,-4.99962,0.0223026,1036,5062,1,0.2,2,2.75264,2,2.82648,5,4.72589
0.5,740.028,218362,0.000822682,0.0208491,-0.000711808,0.0200775,-4.99964,0.0227467,1039,5460,1,0.212132,3,2.70222,3,2.80143,6,4.87258
0.5,750.028,221339,0.00060762,0.0218354,-0.000926486,0.0208187,-4.99944,0.0227087,1037,5829,1,0.207364,3,2.82772,3,2.92335,6,5.16333
0.5,760.028,224309,0.000303339,0.0217419,-0.000794347,0.0201796,-4.99943,0.022825,1040,6218,1,0.214476,3,2.98379,3,3.07945,6,5.49927
0.5,770.028,227292,0.000282004,0.0222968,-0.000981096,0.0201561,-4.99953,0.0225395,1042,6581,1,0.219089,3,3.05025,3,3.14293,6,5.62494
0.5,780.028,230292,0.000173196,0.0228372,-0.00132598,0.0209998,-4.99956,0.0224638,1042,7012,1,0.223607,3,3.15468,3,3.22847,6,5.86166
0.5,790.028,233268,0.000756042,0.0227073,-0.00111392,0.0207437,-4.99915,0.0224786,1044,7386,1,0.219089,3,3.26251,3,3.35261,6,6.07536
0.5,800.028,236290,0.0011294,0.0227052,-0.00105155,0.0209074,-4.99896,0.0222743,1045,3846,1,0.225832,2,2.30955,2,2.28451,5,3.90397
0.5,810.028,239259,0.0010297,0.0233788,-0.00124898,0.0211408,-4.9993,0.0220128,1045,4257,1,0.225832,2,2.51575,2,2.50639,5,4.25805
0.5,820.028,242264,0.000913,0.0240131,-0.00162689,0.021588,-4.99922,0.0223808,1044,4666,1,0.223607,2,2.73002,2,2.68254,5,4.62418
0.5,830.028,245251,0.000871907,0.0238435,-0.00176659,0.021669,-4.99924,0.0225827,1043,5058,1,0.221359,3,2.75155,3,2.69926,6,4.88211
0.5,840.028,248239,0.000926247,0.0238257,-0.00163571,0.0217106,-4.99919,0.0224262,1040,5428,1,0.209762,3,2.88357,3,2.82542,6,5.13693
0.5,850.028,251225,0.00101761,0.0239003,-0.00182037,0.0223019,-4.99927,0.0224816,1042,5834,1,0.223607,3,2.945,3,2.95753,6,5.39222
