dForagingSD,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,510.058,150291,0.000823927,0.0182182,0.000884073,0.0162608,-5.00062,0.0156598,1031,4181,1,0.181659,2,2.47548,2,2.56866,5,4.25065
0.5,520.058,153249,0.000931027,0.0184324,0.000646145,0.0166628,-5.00071,0.0164558,1034,4539,1,0.184391,2,2.69333,2,2.74026,5,4.57373
0.5,530.06,156214,0.00106249,0.0177533,0.000886435,0.0170598,-5.00075,0.0169722,1034,4932,1,0.184391,3,2.73642,3,2.74408,6,4.88406
0.5,540.06,159160,0.00115963,0.0181242,0.00064324,0.016201,-5.00082,0.0166311,1031,5289,1,0.181659,3,2.805,3,2.88721,6,5.08331
0.5,550.062,162098,0.00126507,0.0181406,0.000241813,0.0161876,-5.0007,0.0168077,1034,5679,1,0.184391,3,2.89517,3,2.87993,6,5.15752
0.5,560.062,165106,0.00142918,0.0186614,0.000142198,0.015872,-5.00081,0.0169328,1036,6055,1,0.189737,3,2.99115,3,2.86234,6,5.26384
0.5,570.062,168057,0.00167275,0.0185105,0.000420883,0.0152516,-5.00089,0.0164325,1037,6430,1,0.192354,3,3.0788,3,2.90172,6,5.3912
0.5,580.062,171019,0.00168812,0.0183634,0.000408172,0.0150154,-5.00076,0.0164445,1033,6819,1,0.187083,3,3.15943,3,2.94975,6,5.55815
0.5,590.062,173976,0.00165578,0.0183778,0.0003579,0.0158713,-5.00086,0.0170971,1033,7204,1,0.181659,3,3.19296,3,3.06496,6,5.69465
0.5,600.067,176946,0.00176152,0.0180927,0.000290082,0.0161599,-5.00086,0.0169319,1033,3784,1,0.181659,2,2.30543,2,2.34862,5,3.84565
0.5,610.067,179901,0.00191015,0.0184889,0.000421303,0.0157512,-5.00097,0.0171716,1034,4139,1,0.184391,2,2.52745,2,2.55441,5,4.20678
0.5,620.067,182844,0.00203242,0.0186108,0.000496383,0.0163773,-5.00081,0.0166318,1032,4533,1,0.178885,3,2.57721,3,2.58998,6,4.52062
0.5,630.067,185807,0.00253672,0.0192535,0.000452013,0.0169597,-5.00041,0.0179159,1029,4907,1,0.170294,3,2.77849,3,2.69741,6,4.83611
0.5,640.067,188765,0.00246332,0.0197604,0.000563004,0.01736,-5.00034,0.0174657,1030,5301,1,0.173205,3,2.98178,3,2.79517,6,5.13984
0.5,650.067,191715,0.00270842,0.0200729,0.000525485,0.0172038,-5.00014,0.0178325,1033,5679,1,0.181659,3,3.00333,3,2.89033,6,5.30019
0.5,660.067,194666,0.00243586,0.0202508,9.12424e-05,0.0178743,-5.00041,0.0184542,1032,6049,1,0.178885,3,3.13847,3,3.03364,6,5.59866
0.5,670.067,197640,0.00234894,0.0201447,-8.18883e-05,0.0179367,-5.0004,0.0175917,1030,6447,1,0.173205,3,3.16765,3,3.12266,6,5.73507
0.5,680.067,200572,0.0020459,0.0200118,9.33128e-06,0.0189759,-5.00019,0.0179864,1029,6842,1,0.176068,3,3.21045,3,3.20796,6,5.84277
0.5,690.067,203520,0.00207081,0.0204334,8.92533e-05,0.0194193,-5.00015,0.0178185,1030,7257,1,0.184391,3,3.22304,3,3.30167,6,5.98273
0.5,700.067,206471,0.00178702,0.0202363,9.42296e-05,0.0195873,-5.00038,0.0180601,1032,3871,1,0.184391,2,2.25477,2,2.34115,5,3.84226
0.5,710.067,209404,0.0017171,0.0200888,2.92106e-05,0.0193166,-5.00031,0.0179747,1031,4265,1,0.181659,2,2.4986,2,2.57332,5,4.21129
0.5,720.067,212387,0.0016393,0.0201453,0.000486937,0.0189824,-5.00063,0.0180103,1031,4640,1,0.187083,2,2.67488,3,2.60864,6,4.44972
0.5,730.067,215335,0.00145429,0.0198268,0.000967241,0.019587,-5.00042,0.0177811,1027,5055,1,0.170294,3,2.63116,3,2.82772,6,4.86138
0.5,740.067,218260,0.00137254,0.0198838,0.00101274,0.0201404,-5.00024,0.0173049,1024,5443,1,0.161245,3,2.7302,3,2.86217,6,5.01677
0.5,750.067,221186,0.00155839,0.0202084,0.00115413,0.0199949,-5.00044,0.0174249,1025,5832,1,0.164317,3,2.88739,3,2.98664,6,5.29368
0.5,760.067,224127,0.00165019,0.0203335,0.0014627,0.0198233,-5.00032,0.0170304,1026,6205,1,0.167332,3,3.04204,3,3.13592,6,5.62672
0.5,770.067,227074,0.00154177,0.0197106,0.0012615,0.0197942,-5.0003,0.0175527,1027,6594,1,0.170294,3,3.10886,3,3.24654,6,5.7956
0.5,780.067,229995,0.00165159,0.0202331,0.00122236,0.0196639,-5.00047,0.0170088,1028,6974,1,0.173205,3,3.27246,3,3.36393,7,5.9214
0.5,790.067,232934,0.00176452,0.0203587,0.000919312,0.0200503,-5.00067,0.0170317,1030,7330,1,0.178885,3,3.34724,3,3.45051,7,6.10819
0.5,800.067,235888,0.00157435,0.0207382,0.00108618,0.0199273,-5.00096,0.0176933,1029,3904,1,0.176068,2,2.32787,2,2.3622,5,3.91982
0.5,810.067,238832,0.00159955,0.0208528,0.00105393,0.0204877,-5.00099,0.0176877,1025,4267,1,0.164317,2,2.55617,2,2.63591,5,4.34603
0.5,820.067,241789,0.00142112,0.0210075,0.000681251,0.0204052,-5.00108,0.0182263,1026,4670,1,0.173205,2,2.7617,3,2.64537,6,4.60489
0.5,830.067,244720,0.00157214,0.0216345,0.0006062,0.0205285,-5.0007,0.0196232,1026,5081,1,0.173205,3,2.76387,3,2.77579,6,4.90938
0.5,840.067,247655,0.00162446,0.0213484,0.000419258,0.0205835,-5.00068,0.0199721,1028,5486,1,0.178885,3,2.89465,3,2.91445,6,5.16246
