gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std
980.059,286934,-4.37319e-05,0.0100324,-0.000240331,0.00951262,-5.00063,0.00747111,1024,778,1,0.161245,18,19.5533,6,6.82964
990.059,289886,-0.000144899,0.00997313,-0.000386752,0.00974926,-5.00062,0.0074228,1025,884,1,0.170294,18,19.4384,6,6.80918
1000.06,292835,-4.90953e-05,0.00970085,-0.000329291,0.0095792,-5.00056,0.00736671,1022,95,1,0.167332,18,19.5436,6,6.87859
1010.06,295778,-5.02213e-05,0.00987972,-0.0003473,0.00969092,-5.00052,0.00767869,1025,173,1,0.164317,18,19.0346,6,6.65282
1020.06,298708,-8.19842e-05,0.0101416,-0.000375555,0.00960413,-5.00061,0.0082256,1028,266,1,0.173205,18,19.0317,6,6.66408
1030.06,301636,-0.000173452,0.00968536,-0.000407755,0.00977631,-5.00053,0.00795485,1024,345,1,0.161245,18,19.1573,6,6.74989
1040.06,304586,-3.90865e-06,0.0098187,-0.000560159,0.0105296,-5.00045,0.00800693,1025,433,1,0.164317,18,19.1766,6,6.75367
1050.06,307521,-0.000144792,0.00979296,-0.000510892,0.0104849,-5.00049,0.00797719,1026,529,1,0.167332,19,19.2352,6,6.76395
1060.06,310487,-8.16065e-05,0.00988472,-0.000503148,0.00987849,-5.00048,0.00803669,1023,624,1,0.158114,19,19.2273,6,6.77702
1070.06,313426,-5.27477e-05,0.00996268,-0.000434367,0.0096835,-5.00047,0.00801849,1022,697,1,0.154919,19,19.2228,6,6.78152
1080.06,316348,-0.000115024,0.00973208,-0.000462546,0.00968273,-5.00048,0.00807507,1023,783,1,0.158114,19,19.552,6,6.8913
1090.07,319261,0.000135403,0.0096518,-0.000809279,0.0103651,-5.00034,0.00785863,1019,860,1,0.13784,19,19.7233,6,6.97194
1100.07,322215,0.000272817,0.00939211,-0.00100137,0.011227,-5.0003,0.00781535,1016,89,1,0.126491,19,19.7763,6,6.99507
1110.07,325139,0.000399897,0.00874056,-0.00117377,0.0118672,-5.00025,0.00835743,1018,179,1,0.134164,19,19.9558,6,7.01006
1120.07,328050,0.000330041,0.00863256,-0.00112906,0.0117124,-5.00023,0.00832958,1016,278,1,0.134164,19,19.9183,6,7.05067
1130.07,330970,0.00043202,0.00872039,-0.00131479,0.0122165,-5.00013,0.00804105,1017,368,1,0.130384,19,20.0948,6,7.11843
1140.08,333865,0.000464438,0.00888345,-0.00137503,0.0124073,-5.00032,0.00847996,1014,459,1,0.118322,19,19.9857,6,7.06456
1150.08,336782,0.000347075,0.00868775,-0.00148455,0.0122466,-5.00028,0.00863036,1015,548,1,0.130384,19,19.9531,6,6.99643
1160.08,339690,0.000259263,0.00880556,-0.00149341,0.0122871,-5.00029,0.00858892,1017,643,1,0.130384,19,19.9176,6,6.9872
1170.08,342638,0.000336931,0.00924488,-0.0014643,0.012044,-5.00018,0.00837024,1018,721,1,0.134164,19,19.8605,6,6.97409
1180.08,345552,0.00033472,0.00921668,-0.00150575,0.0120921,-5.00024,0.00818452,1017,797,1,0.130384,19,20.0341,6,7.01213
1190.08,348457,0.000412787,0.00911947,-0.00150647,0.011983,-5.00028,0.00830085,1017,865,1,0.130384,19,20.1848,6,7.03299
1200.08,351386,0.000432407,0.0090161,-0.00133469,0.0117574,-5.00028,0.00908047,1019,78,1,0.13784,19,20.1116,6,6.99829
1210.08,354328,0.000306078,0.0087751,-0.0013612,0.0117955,-5.00024,0.00972136,1019,178,1,0.144914,19,20.2252,6,7.03392
1220.08,357281,0.000202671,0.00903429,-0.0013856,0.0116185,-5.00013,0.00959932,1022,267,1,0.148324,19,20.2705,6,7.05684
1230.08,360205,0.000336709,0.00949483,-0.00147525,0.0120035,-5.0003,0.00951251,1024,352,1,0.154919,19,20.3084,6,7.06675
