dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
0.5,0.5,57,8.15109,13,13,-1,-1,1,-1,0,0,2,0,2,2,0,1,-1,-5.02224,2,1,1,-0.0466348,0.0143304,-0.00353699,0.00534388,0.0137908
0.5,0.5,58,8.2211,23,23,-1,-1,1,-1,0,0,2,1,1,1,0,1,-1,-4.99185,2,0,1,-0.138165,0.0787176,0.0188464,0.0199556,-0.102767
0.5,0.5,59,8.30309,12,12,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-5.02562,1,1,1,-0.10961,-0.0453735,0.0285812,0.00988535,0.0869962
0.5,0.5,60,8.33714,18,18,-1,-1,1,-1,1,0,2,1,1,1,0,1,-1,-5.01288,1,0,1,-0.0504902,0.108706,0.0327295,0.184521,-0.102767
0.5,0.5,61,8.46058,24,24,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-5.01045,0,0,1,-0.0114853,0.102954,0.113069,0.0268479,-0.0343685
0.5,0.5,62,8.58528,2,2,-1,-1,1,-1,0,1,2,0,2,2,0,1,-1,-4.89804,3,0,1,-0.0436776,0.0991684,-0.0193513,-0.064729,-0.0678635
0.5,0.5,63,8.64173,9,9,-1,-1,1,-1,0,0,2,1,1,1,0,1,-1,-5.11003,1,1,1,-0.124859,-0.0218395,0.0248549,-0.00283721,-0.104984
0.5,0.5,64,8.64264,15,15,-1,-1,1,-1,0,1,2,1,1,1,0,1,-1,-5.00622,1,0,1,-0.0247402,0.0974362,0.0743849,0.0082115,-0.0787129
0.5,0.5,65,8.66488,4,4,-1,-1,1,-1,1,0,2,0,1,2,0,1,-1,-4.97628,1,1,1,-0.0847636,0.022031,-0.00601303,0.103662,-0.0106452
0.5,0.5,66,8.69185,21,21,-1,-1,1,-1,1,0,2,1,1,1,0,1,-1,-4.96022,1,0,1,-0.0168527,0.16389,-0.0550305,-0.057446,0.089305
0.5,0.5,67,8.70416,19,19,-1,-1,1,-1,0,1,2,1,1,1,0,1,-1,-5.02442,2,0,1,-0.106078,0.0371089,-0.00660117,-0.0707741,0.0364049
0.5,0.5,68,8.70797,17,17,-1,-1,1,-1,0,0,2,1,0,1,0,1,-1,-5.02224,0,1,1,-0.112603,0.0271146,0.162476,-0.0153593,-0.0769137
0.5,0.5,69,8.70986,16,16,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-5.01199,2,1,1,-0.0247402,0.0271146,0.133389,0.03932,-0.0787129
0.5,0.5,70,8.76102,11,11,-1,-1,1,-1,0,1,2,0,2,2,0,1,-1,-4.96126,3,0,1,-0.15524,0.0601057,-0.0161574,-0.0134139,0.0207144
0.5,0.5,71,8.78269,5,5,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-5.01863,0,0,1,-0.100479,0.0271146,-0.0339583,0.113556,-0.0299462
0.5,0.5,72,8.85995,3,3,-1,-1,1,-1,0,1,2,1,0,1,0,1,-1,-4.99536,1,1,1,-0.0221732,0.00842148,-0.0772051,0.129823,-0.0143039
0.5,0.5,73,8.9065,14,14,-1,-1,1,-1,1,1,2,0,0,2,0,1,-1,-4.94787,0,2,1,-0.063825,-0.0252736,0.0768201,0.0418522,0.0168139
0.5,0.5,74,8.95287,20,20,-1,-1,1,-1,0,0,2,0,0,2,0,1,-1,-5.00728,1,2,1,-0.10961,-0.049931,0.03834,-0.199166,-0.0299335
0.5,0.5,75,12.0236,7,7,-1,-1,1,-1,0,0,3,0,2,3,0,1,-1,-4.94299,2,2,1,-0.142276,-0.00760676,0.0188464,-0.00517625,0.00273955
0.5,0.5,76,12.0486,1,1,-1,-1,1,-1,1,0,3,1,2,2,0,1,-1,-5.06833,0,0,1,-0.185167,0.0734629,-0.156024,0.135408,-0.0678596
0.5,0.5,77,12.0534,22,22,-1,-1,1,-1,0,0,3,0,0,3,0,1,-1,-5.14812,1,3,1,-0.15524,0.0639145,-0.0195419,-0.0537461,-0.0173659
0.5,0.5,78,12.1001,0,0,-1,-1,1,-1,1,1,3,1,1,2,0,1,-1,-5.02591,1,1,1,-0.0847636,0.128174,0.0241129,0,-0.00474605
0.5,0.5,79,12.1041,8,8,-1,-1,1,-1,0,1,3,0,2,3,0,1,-1,-5.03183,2,2,1,-0.120349,-0.00147435,-0.0585143,0,0.00389256
0.5,0.5,80,12.11,6,6,-1,-1,1,-1,1,1,3,1,1,2,0,1,-1,-5.0005,1,1,1,-0.33911,0.0453686,-0.00445822,0.0124028,0.0492758
0.5,0.5,81,12.1511,13,13,-1,-1,1,-1,0,1,3,0,2,3,0,1,-1,-5.02224,3,1,1,-0.0466348,0.0143304,-0.00353699,0.00534388,0.0137908
0.5,0.5,82,12.2211,23,23,-1,-1,1,-1,0,1,3,1,2,2,0,1,-1,-4.99185,3,0,1,-0.138165,0.0787176,0.0188464,0.0199556,-0.102767
0.5,0.5,83,12.3031,12,12,-1,-1,1,-1,1,0,3,1,1,2,0,1,-1,-5.02562,1,1,1,-0.10961,-0.0453735,0.0285812,0.00988535,0.0869962
0.5,0.5,84,12.3371,18,18,-1,-1,1,-1,0,0,3,2,1,1,0,1,-1,-5.01288,2,0,1,-0.0504902,0.108706,0.0327295,0.184521,-0.102767
0.5,0.5,85,12.4606,24,24,-1,-1,1,-1,1,1,3,2,1,1,0,1,-1,-5.01045,0,0,1,-0.0114853,0.102954,0.113069,0.0268479,-0.0343685
0.5,0.5,86,12.5853,2,2,-1,-1,1,-1,1,1,3,0,3,3,0,1,-1,-4.89804,3,0,1,-0.0436776,0.0991684,-0.0193513,-0.064729,-0.0678635
0.5,0.5,87,12.6417,9,9,-1,-1,1,-1,0,1,3,1,1,2,0,1,-1,-5.11003,1,2,1,-0.124859,-0.0218395,0.0248549,-0.00283721,-0.104984
0.5,0.5,88,12.6426,15,15,-1,-1,1,-1,1,1,3,1,2,2,0,1,-1,-5.00622,1,0,1,-0.0247402,0.0974362,0.0743849,0.0082115,-0.0787129
0.5,0.5,89,12.6649,4,4,-1,-1,1,-1,0,0,3,1,1,2,0,1,-1,-4.97628,2,1,1,-0.0847636,0.022031,-0.00601303,0.103662,-0.0106452
0.5,0.5,90,12.6919,21,21,-1,-1,1,-1,0,0,3,2,1,1,0,1,-1,-4.96022,1,1,1,-0.0168527,0.16389,-0.0550305,-0.057446,0.089305
0.5,0.5,91,12.7042,19,19,-1,-1,1,-1,1,1,3,1,2,2,0,1,-1,-5.02442,1,0,1,-0.106078,0.0371089,-0.00660117,-0.0707741,0.0364049
0.5,0.5,92,12.708,17,17,-1,-1,1,-1,0,0,3,1,0,2,0,1,-1,-5.02224,0,2,1,-0.112603,0.0271146,0.162476,-0.0153593,-0.0769137
0.5,0.5,93,12.7099,16,16,-1,-1,1,-1,0,1,3,0,2,3,0,1,-1,-5.01199,3,1,1,-0.0247402,0.0271146,0.133389,0.03932,-0.0787129
0.5,0.5,94,12.761,11,11,-1,-1,1,-1,1,1,3,0,3,3,0,1,-1,-4.96126,3,0,1,-0.15524,0.0601057,-0.0161574,-0.0134139,0.0207144
0.5,0.5,95,12.7827,5,5,-1,-1,1,-1,1,1,3,2,1,1,0,1,-1,-5.01863,0,0,1,-0.100479,0.0271146,-0.0339583,0.113556,-0.0299462
0.5,0.5,96,12.8599,3,3,-1,-1,1,-1,1,1,3,1,1,2,0,1,-1,-4.99536,1,1,1,-0.0221732,0.00842148,-0.0772051,0.129823,-0.0143039
0.5,0.5,97,12.9065,14,14,-1,-1,1,-1,1,0,3,1,0,2,0,1,-1,-4.94787,0,2,1,-0.063825,-0.0252736,0.0768201,0.0418522,0.0168139
0.5,0.5,98,12.9529,20,20,-1,-1,1,-1,0,1,3,0,1,3,0,1,-1,-5.00728,1,3,1,-0.10961,-0.049931,0.03834,-0.199166,-0.0299335
0.5,0.5,99,16.0236,7,7,-1,-1,1,-1,0,0,4,0,2,4,0,1,-1,-4.94299,2,3,1,-0.142276,-0.00760676,0.0188464,-0.00517625,0.00273955
0.5,0.5,100,16.0486,1,1,-1,-1,1,-1,0,0,4,2,2,2,0,1,-1,-5.06833,1,0,1,-0.185167,0.0734629,-0.156024,0.135408,-0.0678596
0.5,0.5,101,16.0534,22,22,-1,-1,1,-1,0,0,4,0,1,4,0,1,-1,-5.14812,1,4,1,-0.15524,0.0639145,-0.0195419,-0.0537461,-0.0173659
0.5,0.5,102,16.1001,0,0,-1,-1,1,-1,1,0,4,2,1,2,0,1,-1,-5.02591,1,1,1,-0.0847636,0.128174,0.0241129,0,-0.00474605
0.5,0.5,103,16.1041,8,8,-1,-1,1,-1,1,1,4,0,2,4,0,1,-1,-5.03183,1,2,1,-0.120349,-0.00147435,-0.0585143,0,0.00389256
0.5,0.5,104,16.11,6,6,-1,-1,1,-1,1,1,4,2,1,2,0,1,-1,-5.0005,1,1,1,-0.33911,0.0453686,-0.00445822,0.0124028,0.0492758
0.5,0.5,105,16.1511,13,13,-1,-1,1,-1,1,1,4,0,3,4,0,1,-1,-5.02224,2,1,1,-0.0466348,0.0143304,-0.00353699,0.00534388,0.0137908
0.5,0.5,106,16.2211,23,23,-1,-1,1,-1,1,1,4,1,3,3,0,1,-1,-4.99185,2,0,1,-0.138165,0.0787176,0.0188464,0.0199556,-0.102767
0.5,0.5,107,16.3031,12,12,-1,-1,1,-1,0,1,4,2,1,2,0,1,-1,-5.02562,2,1,1,-0.10961,-0.0453735,0.0285812,0.00988535,0.0869962
0.5,0.5,108,16.3371,18,18,-1,-1,1,-1,0,0,4,2,2,2,0,1,-1,-5.01288,3,0,1,-0.0504902,0.108706,0.0327295,0.184521,-0.102767
0.5,0.5,109,16.4606,24,24,-1,-1,1,-1,1,1,4,3,1,1,0,1,-1,-5.01045,0,0,1,-0.0114853,0.102954,0.113069,0.0268479,-0.0343685
0.5,0.5,110,16.5853,2,2,-1,-1,1,-1,1,0,4,1,3,3,0,1,-1,-4.89804,3,0,1,-0.0436776,0.0991684,-0.0193513,-0.064729,-0.0678635
0.5,0.5,111,16.6417,9,9,-1,-1,1,-1,1,0,4,1,1,3,0,1,-1,-5.11003,1,2,1,-0.124859,-0.0218395,0.0248549,-0.00283721,-0.104984
0.5,0.5,112,16.6426,15,15,-1,-1,1,-1,1,1,4,2,2,2,0,1,-1,-5.00622,1,0,1,-0.0247402,0.0974362,0.0743849,0.0082115,-0.0787129
