dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,1,803,192.905,5,5,-1,-1,1,-1,0,1,55,28,12,27,0,1,-1,-4.97351,-0.0324419,-0.0390477,8,3,1
0.5,1,804,193.245,22,22,-1,-1,1,-1,1,1,56,29,10,27,0,0,193.245,-4.797,0,-0.0599682,2,1,0
0.5,1,805,194.855,13,13,-1,-1,1,-1,1,1,57,33,11,24,0,1,-1,-5.06782,0.0562335,-0.12991,0,1,1
0.5,1,806,194.97,21,21,-1,-1,1,-1,0,0,54,22,14,32,0,1,-1,-4.93527,0.0871568,-0.00588109,9,4,1
0.5,1,807,195.193,23,23,-1,-1,1,-1,0,0,56,29,15,27,0,1,-1,-4.96746,0.0727422,0,2,2,1
0.5,1,808,195.258,4,4,-1,-1,1,-1,0,1,55,25,16,30,0,1,-1,-5.15306,-0.0100077,-0.00121488,5,7,1
0.5,1,809,195.604,1,1,-1,-1,1,-1,1,0,54,20,17,34,0,1,-1,-5.01783,0,0,7,8,1
0.5,1,810,195.905,5,5,-1,-1,1,-1,1,1,56,28,12,28,0,1,-1,-4.97351,-0.0324419,-0.0390477,8,3,1
0.5,1,811,197.855,13,13,-1,-1,1,-1,1,0,58,34,11,24,0,1,-1,-5.06782,0.0562335,-0.12991,0,1,1
0.5,1,812,198.258,4,4,-1,-1,1,-1,1,0,56,25,17,31,0,1,-1,-5.15306,-0.0100077,-0.00121488,5,6,1
0.5,1,813,198.905,5,5,-1,-1,1,-1,1,1,57,29,12,28,0,1,-1,-4.97351,-0.0324419,-0.0390477,7,3,1
0.5,1,814,198.97,21,21,-1,-1,1,-1,0,1,55,22,15,33,0,1,-1,-4.93527,0.0871568,-0.00588109,10,4,1
0.5,1,815,199.193,23,23,-1,-1,1,-1,0,1,57,29,15,28,0,1,-1,-4.96746,0.0727422,0,2,3,1
0.5,1,816,199.604,1,1,-1,-1,1,-1,0,0,55,21,17,34,0,1,-1,-5.01783,0,0,8,8,1
0.5,1,817,201.855,13,13,-1,-1,1,-1,0,0,59,35,11,24,0,1,-1,-5.06782,0.0562335,-0.12991,1,1,1
0.5,1,818,201.905,5,5,-1,-1,1,-1,1,1,58,30,12,28,0,1,-1,-4.97351,-0.0324419,-0.0390477,5,3,1
0.5,1,819,201.97,21,21,-1,-1,1,-1,1,0,56,22,16,34,0,1,-1,-4.93527,0.0871568,-0.00588109,6,2,1
0.5,1,820,202.193,23,23,-1,-1,1,-1,1,0,58,29,15,29,0,1,-1,-4.96746,0.0727422,0,1,3,1
0.5,1,821,202.258,4,4,-1,-1,1,-1,0,0,57,26,17,31,0,1,-1,-5.15306,-0.0100077,-0.00121488,6,2,1
0.5,1,822,203.604,1,1,-1,-1,1,-1,0,1,56,21,18,35,0,1,-1,-5.01783,0,0,4,5,1
0.5,1,823,204.905,5,5,-1,-1,1,-1,1,1,59,31,12,28,0,1,-1,-4.97351,-0.0324419,-0.0390477,4,2,1
0.5,1,824,205.855,13,13,-1,-1,1,-1,0,1,60,35,12,25,0,1,-1,-5.06782,0.0562335,-0.12991,2,1,1
0.5,1,825,205.97,21,21,-1,-1,1,-1,0,0,57,23,16,34,0,1,-1,-4.93527,0.0871568,-0.00588109,6,3,1
0.5,1,826,206.193,23,23,-1,-1,1,-1,0,0,59,30,15,29,0,1,-1,-4.96746,0.0727422,0,2,3,1
0.5,1,827,206.258,4,4,-1,-1,1,-1,0,1,58,26,18,32,0,1,-1,-5.15306,-0.0100077,-0.00121488,6,3,1
0.5,1,828,206.604,1,1,-1,-1,1,-1,1,1,57,21,18,36,0,1,-1,-5.01783,0,0,3,5,1
0.5,1,829,207.905,5,5,-1,-1,1,-1,1,0,60,32,12,28,0,1,-1,-4.97351,-0.0324419,-0.0390477,4,2,1
0.5,1,830,208.855,13,13,-1,-1,1,-1,1,0,61,35,13,26,0,1,-1,-5.06782,0.0562335,-0.12991,1,1,1
0.5,1,831,209.258,4,4,-1,-1,1,-1,1,0,59,26,18,33,0,1,-1,-5.15306,-0.0100077,-0.00121488,6,2,1
0.5,1,832,209.604,1,1,-1,-1,1,-1,1,1,58,22,18,36,0,1,-1,-5.01783,0,0,3,5,1
0.5,1,833,209.97,21,21,-1,-1,1,-1,0,0,58,23,16,35,0,1,-1,-4.93527,0.0871568,-0.00588109,6,4,1
0.5,1,834,210.193,23,23,-1,-1,1,-1,0,1,60,30,16,30,0,1,-1,-4.96746,0.0727422,0,2,4,1
0.5,1,835,211.905,5,5,-1,-1,1,-1,0,0,61,33,12,28,0,1,-1,-4.97351,-0.0324419,-0.0390477,4,3,1
0.5,1,836,212.604,1,1,-1,-1,1,-1,1,1,59,23,18,36,0,1,-1,-5.01783,0,0,2,5,1
0.5,1,837,212.855,13,13,-1,-1,1,-1,0,0,62,36,13,26,0,1,-1,-5.06782,0.0562335,-0.12991,2,1,1
0.5,1,838,213.193,23,23,-1,-1,1,-1,1,1,61,30,16,31,0,1,-1,-4.96746,0.0727422,0,2,3,1
0.5,1,839,213.258,4,4,-1,-1,1,-1,0,1,60,27,18,33,0,1,-1,-5.15306,-0.0100077,-0.00121488,7,2,1
0.5,1,840,213.97,21,21,-1,-1,1,-1,0,0,59,23,16,36,0,1,-1,-4.93527,0.0871568,-0.00588109,6,5,1
0.5,1,841,215.604,1,1,-1,-1,1,-1,1,0,60,24,18,36,0,1,-1,-5.01783,0,0,1,5,1
0.5,1,842,215.905,5,5,-1,-1,1,-1,0,1,62,33,12,29,0,1,-1,-4.97351,-0.0324419,-0.0390477,4,4,1
0.5,1,843,216.193,23,23,-1,-1,1,-1,1,1,62,31,16,31,0,1,-1,-4.96746,0.0727422,0,2,2,1
0.5,1,844,216.258,4,4,-1,-1,1,-1,1,1,61,27,19,34,0,1,-1,-5.15306,-0.0100077,-0.00121488,6,1,1
0.5,1,845,216.855,13,13,-1,-1,1,-1,0,0,63,36,14,27,0,1,-1,-5.06782,0.0562335,-0.12991,3,1,1
0.5,1,846,217.97,21,21,-1,-1,1,-1,0,1,60,23,16,37,0,1,-1,-4.93527,0.0871568,-0.00588109,7,5,1
0.5,1,847,218.905,5,5,-1,-1,1,-1,1,1,63,33,12,30,0,1,-1,-4.97351,-0.0324419,-0.0390477,4,4,1
0.5,1,848,219.193,23,23,-1,-1,1,-1,1,1,63,32,16,31,0,1,-1,-4.96746,0.0727422,0,1,2,1
0.5,1,849,219.258,4,4,-1,-1,1,-1,1,0,62,28,19,34,0,1,-1,-5.15306,-0.0100077,-0.00121488,6,1,1
0.5,1,850,219.604,1,1,-1,-1,1,-1,0,1,61,25,18,36,0,1,-1,-5.01783,0,0,1,6,1
0.5,1,851,220.855,13,13,-1,-1,1,-1,0,1,64,36,15,28,0,1,-1,-5.06782,0.0562335,-0.12991,4,1,1
0.5,1,852,220.97,21,21,-1,-1,1,-1,1,0,61,23,17,38,0,1,-1,-4.93527,0.0871568,-0.00588109,7,4,1
0.5,1,853,221.905,5,5,-1,-1,1,-1,1,1,64,34,12,30,0,1,-1,-4.97351,-0.0324419,-0.0390477,4,3,1
0.5,1,854,222.193,23,23,-1,-1,1,-1,1,1,64,33,16,31,0,1,-1,-4.96746,0.0727422,0,1,1,1
0.5,1,855,222.604,1,1,-1,-1,1,-1,1,0,62,25,18,37,0,1,-1,-5.01783,0,0,1,5,1
0.5,1,856,223.258,4,4,-1,-1,1,-1,0,1,63,29,19,34,0,1,-1,-5.15306,-0.0100077,-0.00121488,7,1,1
0.5,1,857,223.855,13,13,-1,-1,1,-1,1,1,65,36,16,29,0,1,-1,-5.06782,0.0562335,-0.12991,4,0,1
0.5,1,858,224.905,5,5,-1,-1,1,-1,1,1,65,35,12,30,0,1,-1,-4.97351,-0.0324419,-0.0390477,4,2,1
0.5,1,859,224.97,21,21,-1,-1,1,-1,0,1,62,24,17,38,0,1,-1,-4.93527,0.0871568,-0.00588109,7,5,1
0.5,1,860,225.193,23,23,-1,-1,1,-1,1,0,65,34,16,31,0,1,-1,-4.96746,0.0727422,0,1,1,1
0.5,1,861,226.258,4,4,-1,-1,1,-1,1,1,64,29,20,35,0,1,-1,-5.15306,-0.0100077,-0.00121488,6,1,1
0.5,1,862,226.604,1,1,-1,-1,1,-1,0,1,63,26,18,37,0,1,-1,-5.01783,0,0,1,6,1
0.5,1,863,226.855,13,13,-1,-1,1,-1,1,1,66,37,16,29,0,1,-1,-5.06782,0.0562335,-0.12991,3,0,1
0.5,1,864,227.905,5,5,-1,-1,1,-1,1,0,66,36,12,30,0,1,-1,-4.97351,-0.0324419,-0.0390477,3,2,1
0.5,1,865,227.97,21,21,-1,-1,1,-1,1,1,63,24,17,39,0,1,-1,-4.93527,0.0871568,-0.00588109,6,5,1
0.5,1,866,229.193,23,23,-1,-1,1,-1,0,1,66,35,16,31,0,1,-1,-4.96746,0.0727422,0,1,2,1
0.5,1,867,229.258,4,4,-1,-1,1,-1,1,1,65,30,20,35,0,1,-1,-5.15306,-0.0100077,-0.00121488,5,1,1
0.5,1,868,229.604,1,1,-1,-1,1,-1,1,1,64,26,18,38,0,1,-1,-5.01783,0,0,1,5,1
0.5,1,869,229.855,13,13,-1,-1,1,-1,1,0,67,38,16,29,0,1,-1,-5.06782,0.0562335,-0.12991,3,0,1
0.5,1,870,230.97,21,21,-1,-1,1,-1,1,0,64,25,17,39,0,1,-1,-4.93527,0.0871568,-0.00588109,6,4,1
0.5,1,871,231.905,5,5,-1,-1,1,-1,0,0,67,37,12,30,0,1,-1,-4.97351,-0.0324419,-0.0390477,3,3,1
0.5,1,872,232.193,23,23,-1,-1,1,-1,1,1,67,35,16,32,0,1,-1,-4.96746,0.0727422,0,1,1,1
0.5,1,873,232.258,4,4,-1,-1,1,-1,1,0,66,31,20,35,0,1,-1,-5.15306,-0.0100077,-0.00121488,5,1,1
0.5,1,874,232.604,1,1,-1,-1,1,-1,1,1,65,27,18,38,0,1,-1,-5.01783,0,0,1,4,1
0.5,1,875,233.855,13,13,-1,-1,1,-1,0,1,68,39,16,29,0,1,-1,-5.06782,0.0562335,-0.12991,4,0,1
0.5,1,876,234.97,21,21,-1,-1,1,-1,0,0,65,26,17,39,0,1,-1,-4.93527,0.0871568,-0.00588109,7,4,1
0.5,1,877,235.193,23,23,-1,-1,1,-1,1,0,68,36,16,32,0,1,-1,-4.96746,0.0727422,0,1,0,1
0.5,1,878,235.604,1,1,-1,-1,1,-1,1,0,66,28,18,38,0,1,-1,-5.01783,0,0,0,4,1
0.5,1,879,235.905,5,5,-1,-1,1,-1,0,1,68,37,12,31,0,1,-1,-4.97351,-0.0324419,-0.0390477,4,3,1
0.5,1,880,236.258,4,4,-1,-1,1,-1,0,1,67,32,20,35,0,1,-1,-5.15306,-0.0100077,-0.00121488,5,2,1
0.5,1,881,236.855,13,13,-1,-1,1,-1,1,1,69,39,17,30,0,1,-1,-5.06782,0.0562335,-0.12991,3,0,1
0.5,1,882,238.905,5,5,-1,-1,1,-1,1,1,69,37,13,32,0,1,-1,-4.97351,-0.0324419,-0.0390477,4,3,1
0.5,1,883,238.97,21,21,-1,-1,1,-1,0,1,66,26,18,40,0,1,-1,-4.93527,0.0871568,-0.00588109,7,5,1
0.5,1,884,239.193,23,23,-1,-1,1,-1,0,1,69,37,16,32,0,1,-1,-4.96746,0.0727422,0,1,1,1
0.5,1,885,239.258,4,4,-1,-1,1,-1,1,1,68,32,20,36,0,1,-1,-5.15306,-0.0100077,-0.00121488,5,2,1
0.5,1,886,239.604,1,1,-1,-1,1,-1,0,0,67,29,18,38,0,1,-1,-5.01783,0,0,0,5,1
0.5,1,887,239.855,13,13,-1,-1,1,-1,1,0,70,40,17,30,0,1,-1,-5.06782,0.0562335,-0.12991,2,0,1
