dForagingSD,dForagingMean,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,1,8110.22,2406032,-0.000783315,0.0516785,-0.0357116,0.0566202,-4.9848,0.0593433,1028,4505,1,0.173205,2,2.47245,2,2.37971,4,4.35293
0.5,1,8120.22,2408999,-0.00142207,0.0516401,-0.0361682,0.056761,-4.98454,0.0593846,1032,4899,1,0.178885,2,2.66983,2,2.54912,4,4.71275
0.5,1,8130.22,2411987,-0.00203267,0.0516727,-0.0366206,0.0567629,-4.98473,0.0597273,1032,5326,1,0.178885,2,2.81354,2,2.67357,5,4.87504
0.5,1,8140.22,2414963,-0.00201726,0.0525139,-0.0355665,0.0560794,-4.98436,0.0598341,1031,5731,1,0.176068,2,3.02704,2,2.86024,5,5.27428
0.5,1,8150.22,2417951,-0.000858854,0.053485,-0.0351378,0.0555503,-4.98478,0.0597826,1031,6162,1,0.181659,2,3.16465,2,2.94534,5,5.49363
0.5,1,8160.22,2420939,-0.00167577,0.0534921,-0.0352302,0.0558656,-4.98468,0.0596534,1033,6559,1,0.181659,2,3.33602,2,3.1469,5,5.85713
0.5,1,8170.22,2423936,-0.000680522,0.0532524,-0.0352502,0.0556312,-4.98572,0.0596683,1036,6969,1,0.194936,2,3.49485,2,3.25945,5,6.1327
0.5,1,8180.22,2426926,-0.000752468,0.0526568,-0.0354656,0.055768,-4.98616,0.0593193,1037,7363,1,0.197484,3,3.502,2,3.40338,5,6.38569
0.5,1,8190.22,2429898,-0.000686333,0.0531721,-0.0357822,0.0562857,-4.98534,0.0597303,1034,7778,1,0.194936,3,3.66702,2,3.58818,6,6.63913
0.5,1,8200.22,2432881,-0.000222869,0.0522919,-0.0361484,0.0568702,-4.9866,0.059787,1032,4087,1,0.189737,2,2.40062,2,2.27794,4,4.19595
0.5,1,8210.22,2435873,0.000201393,0.0520954,-0.0368298,0.0569433,-4.98692,0.0593991,1034,4493,1,0.194936,2,2.62755,2,2.4952,4,4.63961
0.5,1,8220.22,2438831,0.00122012,0.0522225,-0.0368353,0.0573003,-4.98622,0.0595025,1033,4865,1,0.192354,2,2.8082,2,2.68756,5,4.91681
0.5,1,8230.22,2441799,0.00067678,0.0511776,-0.0366502,0.05733,-4.98555,0.0587687,1031,5256,1,0.187083,2,3.03826,2,2.85815,5,5.25681
0.5,1,8240.22,2444778,0.00094981,0.0514538,-0.0371724,0.0572237,-4.98635,0.0582361,1032,5658,1,0.189737,2,3.17348,2,2.99883,5,5.55086
0.5,1,8250.22,2447766,0.000665367,0.0515007,-0.0370245,0.0577844,-4.98717,0.0585417,1030,6080,1,0.184391,2,3.3547,2,3.15801,5,5.87631
0.5,1,8260.22,2450746,0.000499523,0.0517382,-0.0367272,0.0569835,-4.98753,0.0583533,1032,6506,1,0.189737,2,3.50599,2,3.30333,5,6.17883
0.5,1,8270.22,2453742,0.000629269,0.0515112,-0.0369311,0.0575591,-4.98739,0.0587005,1031,6916,1,0.187083,3,3.51397,2,3.44572,5,6.48637
0.5,1,8280.22,2456700,0.000535273,0.0521134,-0.0366163,0.057849,-4.98667,0.0593603,1028,7300,1,0.178885,3,3.5968,2,3.59667,5,6.72034
