dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,knot1,knot2,knot3,knot4,knot5
0.5,0.5,106,14.4445,11,11,-1,-1,1,-1,1,1,4,1,0,3,0,1,-1,-5.06928,0,1,1,0.0121192,0.0169586,-0.0352372,-0.147889,-0.0146053
0.5,0.5,107,14.7644,6,6,-1,-1,1,-1,1,1,4,1,1,3,0,1,-1,-5.0154,1,1,1,0,0,-0.0505878,-0.00580038,-0.0202122
0.5,0.5,108,14.7925,5,5,-1,-1,1,-1,0,1,4,2,1,2,0,1,-1,-4.88733,0,2,1,0,-0.122449,-0.037493,0,0.0894173
0.5,0.5,109,14.8046,10,10,-1,-1,1,-1,0,0,4,2,1,2,0,1,-1,-5,1,1,1,-0.0163982,-0.20373,0.0575284,0.035061,-0.0299378
0.5,0.5,110,15.0382,14,14,-1,-1,1,-1,0,0,4,1,1,3,0,1,-1,-5.0739,1,2,1,-0.0235069,-0.0414523,0.064228,0.0186607,0.0617754
0.5,0.5,111,15.2753,13,13,-1,-1,1,-1,0,1,4,1,0,3,0,1,-1,-4.8505,0,3,1,-0.071744,-0.347345,-0.0137418,0.00973532,-0.0296695
0.5,0.5,112,15.5488,1,1,-1,-1,1,-1,1,1,4,0,2,4,0,1,-1,-4.91813,2,2,1,0.0137054,-0.382992,0.0914359,-0.0417734,-0.0635942
0.5,0.5,113,15.5578,23,23,-1,-1,1,-1,1,1,4,0,2,4,0,1,-1,-5,2,2,1,-0.0368037,-0.0486834,0,-0.0262714,0
0.5,0.5,114,15.5951,19,19,-1,-1,1,-1,0,1,4,1,1,3,0,1,-1,-5,2,2,1,-0.0690849,-0.132366,0.064228,0.14779,0
0.5,0.5,115,15.7539,21,21,-1,-1,1,-1,0,1,4,1,2,3,0,1,-1,-5.03961,2,2,1,0.0296665,-0.176078,-0.059424,0.160862,0.0318582
0.5,0.5,116,15.8783,8,8,-1,-1,1,-1,0,0,4,1,3,3,0,1,-1,-5.0692,2,1,1,0,-0.0229851,-0.0731305,0,0.0217105
0.5,0.5,117,16.0781,17,17,-1,-1,1,-1,1,1,5,3,1,2,0,1,-1,-4.94095,1,0,1,0.0423893,-0.0691755,-0.0536995,0,-0.00453439
0.5,0.5,118,16.195,18,18,-1,-1,1,-1,1,0,5,3,1,2,0,1,-1,-4.96883,1,1,1,0.0620916,-0.0486834,0,-0.0262714,-0.0536374
0.5,0.5,119,16.4172,0,0,-1,-1,1,-1,1,1,5,3,1,2,0,1,-1,-5.01236,0,1,1,-0.18154,-0.0956832,0,-0.0790472,0.08954
0.5,0.5,120,16.4613,16,16,-1,-1,1,-1,1,1,5,3,1,2,0,1,-1,-5.13687,1,0,1,0,-0.122449,0.109126,-0.0353626,-0.0561826
0.5,0.5,121,16.4831,12,12,-1,-1,1,-1,1,0,5,3,2,2,0,1,-1,-5.02183,2,0,1,0.0425016,-0.264684,-0.0158749,0.0328001,-0.0184371
0.5,0.5,122,16.6942,20,20,-1,-1,1,-1,1,1,2,0,2,2,0,0,16.6942,-5.19145,2,0,0,0,-0.0778057,0.0309562,0.0237613,0.0203023
0.5,0.5,123,16.7153,15,15,-1,-1,1,-1,1,1,5,3,0,2,0,1,-1,-4.98343,0,0,1,0.0741518,-0.122449,-0.057691,-0.0133331,-0.0370635
0.5,0.5,124,16.7959,4,4,-1,-1,1,-1,1,1,5,3,1,2,0,1,-1,-4.99841,1,0,1,-0.132048,-0.0254963,-0.0271262,0.0903302,0.0203023
0.5,0.5,125,16.835,9,9,-1,-1,1,-1,1,1,2,0,1,2,0,0,16.835,-5.0537,1,1,0,0.0366499,0.0178775,0,-0.0194766,0.0270116
0.5,0.5,126,17.0489,24,24,-1,-1,1,-1,1,1,5,2,1,3,0,1,-1,-5,1,2,1,0.0620916,-0.154068,0,0.0185645,0.00834024
0.5,0.5,127,17.1093,22,22,-1,-1,1,-1,0,0,5,3,1,2,0,1,-1,-5.06908,0,2,1,-0.0389963,-0.164735,0.0404685,-0.000209903,-0.0445576
0.5,0.5,128,17.4445,11,11,-1,-1,1,-1,1,0,5,2,0,3,0,1,-1,-5.06928,0,1,1,0.0121192,0.0169586,-0.0352372,-0.147889,-0.0146053
0.5,0.5,129,17.538,2,2,-1,-1,1,-1,0,0,5,3,0,2,0,1,-1,-5.05563,0,3,1,0.0255296,-0.0417363,0,-0.0502182,0.00921868
0.5,0.5,130,17.7644,6,6,-1,-1,1,-1,1,0,5,2,1,3,0,1,-1,-5.0154,0,1,1,0,0,-0.0505878,-0.00580038,-0.0202122
0.5,0.5,131,17.7925,5,5,-1,-1,1,-1,1,1,5,2,1,3,0,1,-1,-4.88733,0,2,1,0,-0.122449,-0.037493,0,0.0894173
0.5,0.5,132,18.1004,3,3,-1,-1,1,-1,0,1,5,2,1,3,0,1,-1,-5.12618,0,3,1,0.0710046,-0.0865752,-0.057691,0.0729638,-0.107275
0.5,0.5,133,18.2753,13,13,-1,-1,1,-1,1,0,5,1,0,4,0,1,-1,-4.8505,0,3,1,-0.071744,-0.347345,-0.0137418,0.00973532,-0.0296695
0.5,0.5,134,18.5488,1,1,-1,-1,1,-1,1,1,5,1,2,4,0,1,-1,-4.91813,2,2,1,0.0137054,-0.382992,0.0914359,-0.0417734,-0.0635942
0.5,0.5,135,18.5578,23,23,-1,-1,1,-1,1,1,5,1,2,4,0,1,-1,-5,2,2,1,-0.0368037,-0.0486834,0,-0.0262714,0
0.5,0.5,136,18.5951,19,19,-1,-1,1,-1,1,0,5,1,2,4,0,1,-1,-5,2,2,1,-0.0690849,-0.132366,0.064228,0.14779,0
0.5,0.5,137,18.8046,10,10,-1,-1,1,-1,0,1,5,2,1,3,0,1,-1,-5,1,2,1,-0.0163982,-0.20373,0.0575284,0.035061,-0.0299378
0.5,0.5,138,19.0382,14,14,-1,-1,1,-1,0,0,5,1,2,4,0,1,-1,-5.0739,2,2,1,-0.0235069,-0.0414523,0.064228,0.0186607,0.0617754
0.5,0.5,139,19.0781,17,17,-1,-1,1,-1,1,1,6,4,1,2,0,1,-1,-4.94095,0,0,1,0.0423893,-0.0691755,-0.0536995,0,-0.00453439
0.5,0.5,140,19.3137,7,7,-1,-1,1,-1,1,1,3,1,2,2,0,0,19.3137,-4.95262,1,0,0,0,-0.142668,0.0151253,-0.0126447,-0.219938
0.5,0.5,141,19.4172,0,0,-1,-1,1,-1,1,0,6,4,1,2,0,1,-1,-5.01236,0,0,1,-0.18154,-0.0956832,0,-0.0790472,0.08954
0.5,0.5,142,19.4613,16,16,-1,-1,1,-1,1,1,6,4,1,2,0,1,-1,-5.13687,1,0,1,0,-0.122449,0.109126,-0.0353626,-0.0561826
0.5,0.5,143,19.7153,15,15,-1,-1,1,-1,1,1,6,4,0,2,0,1,-1,-4.98343,0,0,1,0.0741518,-0.122449,-0.057691,-0.0133331,-0.0370635
