dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta1,beta2,beta3,beta4,beta5
0.5,0.5,873,194.443,12,12,-1,-1,1,-1,1,0,57,33,9,24,0,1,-1,-4.92248,2,1,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,874,195.162,20,20,-1,-1,1,-1,0,1,58,37,13,21,0,1,-1,-5,3,2,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,875,196.279,6,6,-1,-1,1,-1,0,1,58,36,10,22,0,1,-1,-5.13016,2,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,876,196.347,17,17,-1,-1,1,-1,0,0,58,36,13,22,0,1,-1,-4.91,1,5,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,877,196.421,3,3,-1,-1,1,-1,1,1,58,35,9,23,0,1,-1,-5.08423,4,1,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,878,196.838,19,19,-1,-1,1,-1,1,1,59,39,12,20,0,1,-1,-5.07648,3,0,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,879,197.067,13,13,-1,-1,1,-1,1,0,58,34,13,24,0,1,-1,-5.15135,4,3,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,880,197.948,5,5,-1,-1,1,-1,0,0,57,31,14,26,0,1,-1,-5.06605,1,4,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,881,198.066,23,23,-1,-1,1,-1,0,1,57,30,19,27,0,1,-1,-5.03932,11,1,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,882,198.162,20,20,-1,-1,1,-1,1,1,59,37,13,22,0,1,-1,-5,3,2,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,883,198.443,12,12,-1,-1,1,-1,0,1,58,34,9,24,0,1,-1,-4.92248,2,2,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,884,199.279,6,6,-1,-1,1,-1,1,1,59,36,11,23,0,1,-1,-5.13016,2,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,885,199.421,3,3,-1,-1,1,-1,1,1,59,36,9,23,0,1,-1,-5.08423,3,1,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
