dForagingSD,dForagingMean,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std,beta5_avg,beta5_std
0.5,0.5,5000.11,1433026,-5.00256,0.0451383,1019,2482,1,0.13784,2,2.30955,2,2.40583,5,3.86704,-0.004335,0.0548154,-0.0749473,0.0754943,-0.00461088,0.0541605,0.0128921,0.0563042,-0.00635799,0.0493151
0.5,0.5,5050.11,1447548,-5.00287,0.0455193,1017,3725,1,0.13784,3,2.8571,3,3.19233,6,5.37383,-0.00423185,0.0561479,-0.0775854,0.0775509,-0.00566544,0.0557346,0.0147058,0.0563714,-0.00460456,0.0482278
0.5,0.5,5100.11,1462111,-5.00273,0.0459447,1022,2398,1,0.148324,2,2.26208,2,2.37887,5,3.79974,-0.00401482,0.0552632,-0.0790257,0.0763813,-0.00567912,0.0562821,0.0144745,0.0591134,-0.00580001,0.0482252
0.5,0.5,5150.11,1476744,-5.00273,0.0453704,1023,3594,1,0.164317,3,2.84798,3,2.89379,6,5.04985,-0.0030372,0.0543207,-0.0832598,0.0792864,-0.00791386,0.0563072,0.0158107,0.0596884,-0.00601828,0.0469161
0.5,0.5,5200.11,1491290,-5.00336,0.0464856,1020,2416,1,0.148324,2,2.20681,2,2.24343,5,3.63387,-0.00302744,0.054852,-0.0841754,0.0801436,-0.00967346,0.0553869,0.014734,0.0598884,-0.00739753,0.0480882
0.5,0.5,5250.11,1505897,-5.00312,0.0477662,1020,3632,1,0.148324,3,2.79946,3,2.96057,6,5.11527,-0.00468439,0.0563308,-0.0862305,0.0818394,-0.00729065,0.0554912,0.0118937,0.0590378,-0.00830612,0.0492377
0.5,0.5,5300.11,1520448,-5.00338,0.0497408,1021,2432,1,0.151658,2,2.20862,2,2.21088,5,3.6647,-0.00553643,0.0546319,-0.0861295,0.0798813,-0.00695218,0.0560012,0.0121159,0.0598522,-0.00835005,0.0483743
0.5,0.5,5350.11,1535011,-5.00395,0.0495635,1022,3718,1,0.161245,3,2.99366,3,2.82684,6,5.23479,-0.00582748,0.056324,-0.0896177,0.084207,-0.00688028,0.055406,0.0121008,0.0598696,-0.00884661,0.0494371
0.5,0.5,5400.11,1549559,-5.00346,0.0504822,1015,2459,1,0.13784,2,2.23808,2,2.17348,4,3.84799,-0.00797553,0.0557569,-0.0907541,0.0857465,-0.00645917,0.0554268,0.0135156,0.061172,-0.00787341,0.0500863
0.5,0.5,5450.11,1564106,-5.00462,0.0497262,1019,3722,1,0.158114,3,2.84623,3,2.73093,6,4.9987,-0.00573718,0.054955,-0.0918506,0.0864052,-0.00670212,0.0537912,0.0139095,0.060404,-0.00705864,0.0485328
0.5,0.5,5500.11,1578779,-5.00573,0.0488592,1028,2572,1,0.173205,2,2.25078,2,2.21088,4,3.91408,-0.00889079,0.0566578,-0.0927645,0.0862704,-0.00695148,0.0555506,0.0146797,0.0604141,-0.0062198,0.0481807
0.5,0.5,5550.11,1593371,-5.00643,0.0489793,1027,3867,1,0.170294,3,3.07376,3,2.91376,6,5.4207,-0.00810141,0.0583821,-0.0942655,0.0879027,-0.00699566,0.058746,0.0152396,0.0609595,-0.00591398,0.0504201
0.5,0.5,5600.11,1608084,-5.0068,0.0501013,1022,2601,1,0.161245,2,2.30087,2,2.2154,5,3.80894,-0.0055247,0.0582422,-0.095917,0.0870479,-0.00533979,0.0589111,0.0166615,0.0629415,-0.00724002,0.051424
0.5,0.5,5650.11,1622669,-5.00811,0.0505523,1024,3856,1,0.161245,3,2.98463,3,2.90431,6,5.32494,-0.00873,0.0591537,-0.0960514,0.0866238,-0.00664372,0.0579717,0.0151383,0.0619748,-0.00554355,0.0528216
0.5,0.5,5700.11,1637328,-5.00712,0.0504646,1020,2567,1,0.141421,2,2.35733,2,2.31625,5,3.98999,-0.011379,0.0594357,-0.0985864,0.0870632,-0.00581526,0.0581448,0.0170514,0.0627685,-0.00566131,0.0534791
0.5,0.5,5750.11,1652002,-5.007,0.0517831,1023,3854,1,0.151658,3,2.98463,3,3.13512,6,5.53904,-0.0106789,0.0583983,-0.100289,0.0896602,-0.00534284,0.0602949,0.0159484,0.0601485,-0.00568016,0.0530699
