dForagingSD,dForagingMean,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,1,2990.09,884177,0.000722446,0.041118,-0.00914267,0.0356377,-5.0014,0.0382015,1028,7458,1,0.167332,3,3.86795,3,4.0775,6,7.4288
0.5,1,3000.09,887106,0.000327348,0.041164,-0.00941798,0.0364753,-5.00148,0.0383753,1027,3907,1,0.164317,2,2.47931,2,2.53811,4,4.45948
0.5,1,3010.09,890048,-0.00023697,0.041198,-0.00970334,0.0364402,-5.00165,0.0386464,1027,4285,1,0.170294,2,2.7236,2,2.76261,5,4.76529
0.5,1,3020.09,892996,-0.000593888,0.041234,-0.0102584,0.0366354,-5.00225,0.0388757,1027,4639,1,0.164317,2,3.03282,2,2.92181,5,5.15859
0.5,1,3030.09,895925,-0.000869429,0.0408319,-0.00987541,0.0360732,-5.00241,0.0389039,1025,5001,1,0.158114,3,3.08772,3,2.93905,6,5.44169
0.5,1,3040.09,898894,-0.000752336,0.0413732,-0.0100895,0.0362475,-5.00222,0.0384191,1024,5384,1,0.167332,3,3.30878,3,3.06888,6,5.81825
0.5,1,3050.09,901857,-0.000435254,0.0417131,-0.0101432,0.0367013,-5.00241,0.0391309,1023,5733,1,0.151658,3,3.45905,3,3.16496,6,6.07058
0.5,1,3060.09,904773,-0.000259273,0.0405456,-0.0100682,0.0366125,-5.00198,0.0394545,1023,6090,1,0.158114,3,3.64966,3,3.31316,6,6.42518
0.5,1,3070.09,907709,-0.000377518,0.03999,-0.0103086,0.0370149,-5.0019,0.0392396,1028,6445,1,0.167332,3,3.83171,3,3.40793,6,6.71521
0.5,1,3080.09,910667,-0.000151122,0.0399721,-0.0108312,0.0372652,-5.00184,0.0393952,1032,6874,1,0.178885,3,3.95095,3,3.57001,6,7.01691
0.5,1,3090.09,913661,-0.000537569,0.0390019,-0.0107443,0.0370749,-5.00151,0.0400089,1035,7231,1,0.187083,3,4.06436,3,3.69716,6,7.25507
0.5,1,3100.09,916639,-0.000696689,0.0390401,-0.0117095,0.0379375,-5.00088,0.0394719,1034,3841,1,0.189737,2,2.51237,2,2.33474,4,4.30453
0.5,1,3110.09,919618,-0.00121565,0.0385632,-0.0112345,0.0374715,-5.00055,0.0398435,1034,4264,1,0.189737,2,2.72635,2,2.55029,5,4.60706
0.5,1,3120.09,922603,-0.00111671,0.0380974,-0.0114482,0.0376798,-5.00062,0.0392505,1035,4653,1,0.192354,2,2.99917,2,2.72158,5,4.98157
0.5,1,3130.09,925573,-0.0012873,0.0385589,-0.0110303,0.0377592,-5.00074,0.0392518,1031,5078,1,0.181659,2,3.21776,2,2.94058,5,5.37541
0.5,1,3140.09,928509,-0.00169627,0.0386144,-0.0111054,0.0376448,-5.00122,0.038946,1031,5490,1,0.181659,3,3.17002,3,2.97473,6,5.6091
0.5,1,3150.09,931478,-0.000934359,0.0388569,-0.0112558,0.0378795,-5.00166,0.0393237,1031,5869,1,0.187083,3,3.34201,3,3.10097,6,5.93102
0.5,1,3160.09,934425,-0.00112088,0.0388103,-0.0115301,0.0379279,-5.00184,0.0395463,1031,6266,1,0.181659,3,3.48368,3,3.25269,6,6.22158
0.5,1,3170.09,937386,-0.00131232,0.0388211,-0.0111981,0.0372907,-5.00119,0.0399384,1035,6670,1,0.192354,3,3.72881,3,3.39676,6,6.63792
0.5,1,3180.09,940370,-0.00144452,0.0381292,-0.0114654,0.0372037,-5.00112,0.0401836,1035,7054,1,0.192354,3,3.93446,3,3.54782,6,7.02986
0.5,1,3190.09,943350,-0.00138403,0.0379478,-0.0114415,0.0375204,-5.00057,0.0395732,1034,7428,1,0.189737,3,4.05228,3,3.67587,6,7.26464
0.5,1,3200.09,946329,-0.00137825,0.0384364,-0.0112546,0.0378712,-5.00087,0.0404102,1036,3964,1,0.189737,2,2.46069,2,2.51277,4,4.42301
